epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,27.5987,0.99402,3.18828,1.52737,0.00617,0.91358,0.12817,0.06041,0.93224,2.94545,1.39825,0.00016,0.00016,0.00016
2,31.5026,0.88391,2.82269,1.35217,0.0065,0.96296,0.53808,0.37654,0.9775,2.83388,1.3844,0.00030634,0.00030634,0.00030634
3,35.0187,0.88759,2.49653,1.33074,0.0065,0.96296,0.64864,0.47965,0.9079,2.81414,1.34047,0.00041704,0.00041704,0.00041704
4,38.3768,0.86947,2.14009,1.35318,0.0065,0.96296,0.65232,0.45914,0.94265,2.77638,1.38211,0.0004921,0.0004921,0.0004921
5,42.0428,0.86319,1.87271,1.31487,0.90673,0.36012,0.70485,0.46214,1.07377,2.6407,1.41327,0.00053152,0.00053152,0.00053152
6,45.5496,0.90236,1.79651,1.33604,1,0.22145,0.65427,0.40413,1.07313,2.71102,1.46657,0.0005353,0.0005353,0.0005353
7,48.9374,0.90536,1.73284,1.35189,0.85582,0.45679,0.62565,0.42976,0.96962,2.70413,1.42483,0.00050344,0.00050344,0.00050344
8,52.2596,0.78748,1.67655,1.20579,1,0.32337,0.69236,0.50726,0.96464,2.4869,1.28543,0.00043594,0.00043594,0.00043594
9,55.5817,0.76455,1.56543,1.2551,1,0.3888,0.71587,0.51857,0.94938,2.44631,1.36837,0.0003328,0.0003328,0.0003328
10,58.7934,0.7778,1.45372,1.23111,1,0.43519,0.72118,0.53373,1.00166,2.36066,1.38899,0.00019402,0.00019402,0.00019402
