Edge TPU Compiler version 16.0.384591198
Input: yolov9t_saved_model/yolov9t_full_integer_quant.tflite
Output: yolov9t_saved_model/yolov9t_full_integer_quant_edgetpu.tflite

Operator                       Count      Status

TRANSPOSE                      3          Operation is otherwise supported, but not mapped due to some unspecified limitation
TRANSPOSE                      1          Mapped to Edge TPU
PAD                            7          Mapped to Edge TPU
SUB                            2          More than one subgraph is not supported
ADD                            2          More than one subgraph is not supported
ADD                            42         Mapped to Edge TPU
MAX_POOL_2D                    3          Mapped to Edge TPU
STRIDED_SLICE                  2          Operation is otherwise supported, but not mapped due to some unspecified limitation
STRIDED_SLICE                  16         Mapped to Edge TPU
STRIDED_SLICE                  2          More than one subgraph is not supported
QUANTIZE                       2          Mapped to Edge TPU
QUANTIZE                       1          Operation is otherwise supported, but not mapped due to some unspecified limitation
CONV_2D                        185        Mapped to Edge TPU
CONV_2D                        1          More than one subgraph is not supported
LOGISTIC                       179        Mapped to Edge TPU
LOGISTIC                       1          Operation is otherwise supported, but not mapped due to some unspecified limitation
RESIZE_NEAREST_NEIGHBOR        2          Mapped to Edge TPU
CONCATENATION                  30         Mapped to Edge TPU
CONCATENATION                  2          Operation is otherwise supported, but not mapped due to some unspecified limitation
MUL                            2          More than one subgraph is not supported
MUL                            179        Mapped to Edge TPU
SOFTMAX                        1          More than one subgraph is not supported
AVERAGE_POOL_2D                5          Mapped to Edge TPU
RESHAPE                        2          More than one subgraph is not supported
RESHAPE                        3          Operation is otherwise supported, but not mapped due to some unspecified limitation
RESHAPE                        1          Mapped to Edge TPU
